iter	Passed	Remaining
408	4543	6565
409	4553	6552
410	4569	6548
411	4580	6536
412	4590	6524
413	4601	6512
414	4611	6500
415	4621	6488
416	4631	6475
417	4641	6463
418	4652	6450
419	4662	6438
420	4672	6425
421	4682	6413
422	4692	6401
423	4703	6389
424	4713	6377
425	4726	6368
426	4738	6359
427	4751	6349
428	4765	6343
429	4777	6332
430	4787	6320
431	4798	6308
432	4807	6295
433	4818	6283
434	4828	6271
435	4838	6258
436	4852	6251
437	4862	6238
438	4873	6228
439	4884	6216
440	4897	6207
441	4909	6197
442	4921	6187
443	4933	6178
444	4943	6165
445	4953	6152
446	4963	6140
447	4975	6130
448	4986	6119
449	5002	6113
450	5015	6104
451	5025	6092
452	5037	6083
453	5049	6072
454	5061	6062
455	5074	6053
456	5084	6041
457	5097	6032
458	5110	6023
459	5120	6011
460	5130	5998
461	5140	5986
462	5153	5976
463	5164	5966
464	5174	5953
465	5184	5941
466	5194	5929
467	5204	5916
468	5217	5907
469	5228	5895
470	5238	5883
471	5249	5872
472	5259	5859
473	5271	5849
474	5283	5839
475	5293	5826
476	5303	5815
477	5314	5803
478	5323	5790
479	5334	5778
480	5344	5766
481	5354	5753
482	5364	5742
483	5374	5729
484	5384	5717
485	5394	5705
486	5404	5693
487	5414	5680
488	5424	5668
489	5433	5655
490	5443	5643
491	5453	5630
492	5464	5620
493	5476	5609
494	5485	5596
495	5495	5584
496	5505	5571
497	5515	5559
498	5524	5546
499	5534	5534
500	5543	5521
501	5553	5509
502	5562	5496
503	5572	5483
504	5581	5471
505	5591	5458
506	5600	5446
507	5610	5433
508	5619	5421
509	5629	5408
510	5641	5398
511	5653	5388
512	5662	5375
513	5673	5364
514	5683	5352
515	5692	5339
516	5703	5328
517	5712	5315
518	5722	5303
519	5731	5290
520	5740	5277
521	5750	5265
522	5761	5255
523	5771	5242
524	5781	5230
525	5791	5218
526	5800	5206
527	5810	5194
528	5822	5184
529	5832	5172
530	5842	5160
531	5852	5148
532	5861	5135
533	5870	5123
534	5880	5110
535	5889	5098
536	5898	5085
537	5908	5073
538	5918	5061
539	5927	5049
540	5936	5036
541	5946	5024
542	5955	5012
543	5965	5000
544	5974	4987
545	5984	4976
546	5994	4964
547	6006	4954
548	6015	4942
549	6025	4930
550	6035	4918
551	6045	4906
552	6055	4894
553	6065	4882
554	6074	4870
555	6084	4858
556	6094	4847
557	6104	4835
558	6114	4823
559	6123	4811
560	6133	4799
561	6142	4787
562	6151	4775
563	6161	4763
564	6171	4751
565	6180	4738
566	6191	4728
567	6202	4717
568	6212	4705
569	6221	4693
570	6231	4681
571	6241	4670
572	6251	4658
573	6261	4646
574	6270	4634
575	6280	4622
576	6288	4609
577	6297	4597
578	6306	4585
579	6316	4574
580	6325	4562
581	6335	4550
582	6344	4538
583	6354	4526
584	6367	4516
585	6377	4505
586	6387	4493
587	6396	4482
588	6406	4470
589	6415	4458
590	6424	4446
591	6434	4434
592	6444	4422
593	6453	4410
594	6462	4399
595	6472	4387
596	6482	4375
597	6492	4364
598	6501	4352
599	6510	4340
600	6519	4328
601	6529	4316
602	6540	4306
603	6551	4295
604	6561	4283
605	6570	4271
606	6579	4260
607	6589	4248
608	6598	4236
609	6608	4224
610	6617	4213
611	6627	4201
612	6636	4190
613	6646	4178
614	6656	4166
615	6665	4155
616	6675	4143
617	6684	4132
618	6694	4120
619	6703	4108
620	6713	4097
621	6722	4085
622	6734	4075
623	6745	4064
624	6755	4053
625	6765	4041
626	6774	4030
627	6784	4018
628	6793	4007
629	6803	3995
